temperature,wind-direction,wind-speed,sky-cover,visibility,humidity,average-wind-speed-(period),average-pressure-(period),power-generated
66,29,7.3,1,10,70,16,29.95,79
66,29,7.3,0,10,78,8,29.97,0
69,29,8.7,0,10,81,6,29.97,0
69,29,8.7,0,10,75,3,29.96,0
69,29,8.7,1,9,84,3,29.98,3974
69,29,8.7,0,9,73,5,29.99,23119
69,29,8.7,0,10,66,6,29.94,26858
69,29,8.7,0,10,37,21,29.9,12109
69,29,8.7,0,10,56,18,29.91,65
69,29,8.7,0,10,75,11,29.94,0
66,29,10.1,0,10,84,3,29.94,0
66,29,10.1,0,10,90,5,29.92,0
66,29,10.1,1,9,90,5,29.94,3749
66,29,10.1,1,10,66,3,29.95,22695
66,29,10.1,1,10,51,13,29.92,27114
66,29,10.1,1,10,49,16,29.89,12017
66,29,10.1,1,10,56,16,29.89,59
66,29,10.1,0,10,62,11,29.92,0
67,29,9.3,0,10,67,3,29.91,0
67,29,9.3,0,10,80,6,29.9,0
67,29,9.3,2,10,70,0,29.93,3894
67,29,9.3,2,10,63,7,29.95,23066
67,29,9.3,2,10,47,15,29.91,27072
67,29,9.3,2,10,57,21,29.88,11864
67,29,9.3,1,10,70,11,29.89,51
67,29,9.3,0,10,81,8,29.91,0
66,29,10.7,0,10,81,6,29.91,0
66,29,10.7,0,9,87,7,29.9,0
66,29,10.7,2,9,84,6,29.93,3661
66,29,10.7,1,10,68,6,29.95,22534
66,29,10.7,1,10,50,13,29.91,26744
66,29,10.7,1,10,68,18,29.9,11627
66,29,10.7,1,10,90,15,29.92,43
66,29,10.7,1,10,90,10,29.94,0
66,29,9.1,1,10,90,10,29.95,0
66,29,9.1,1,10,93,3,29.93,0
66,29,9.1,1,10,93,6,29.95,3615
66,29,9.1,0,10,73,3,29.95,22037
66,29,9.1,1,10,56,6,29.9,26026
66,29,9.1,1,10,59,20,29.85,1728
66,29,9.1,0,10,73,15,29.89,0
66,29,9.1,1,10,81,5,29.92,0
61,30,12.3,1,10,90,13,29.92,0
61,30,12.3,1,10,93,8,29.91,0
61,30,12.3,1,10,93,8,29.94,2406
61,30,12.3,1,10,65,9,29.94,22113
61,30,12.3,1,10,63,20,29.9,26823
61,30,12.3,1,10,70,21,29.89,10798
61,30,12.3,1,10,87,11,29.93,0
61,30,12.3,2,10,90,11,29.96,0
62,28,8.4,4,10,90,8,29.97,0
62,28,8.4,4,10,87,6,29.96,0
62,28,8.4,4,10,87,6,29.96,373
62,28,8.4,3,10,75,5,29.98,13921
62,28,8.4,2,10,63,15,29.94,26393
62,28,8.4,2,10,68,15,29.95,11093
62,28,8.4,2,10,75,11,29.96,47
62,28,8.4,0,10,81,8,29.97,0
65,29,6.9,0,10,81,5,29.98,0
65,29,6.9,1,10,87,5,29.99,0
65,29,6.9,2,10,83,0,30.04,3110
65,29,6.9,2,10,70,3,30.05,21023
65,29,6.9,2,10,50,9,30.01,25702
65,29,6.9,2,10,53,18,29.97,10972
65,29,6.9,1,10,68,15,29.99,0
65,29,6.9,1,10,67,0,30.01,0
66,29,7.8,1,10,67,0,30,0
66,29,7.8,1,10,78,5,29.99,0
66,29,7.8,2,10,75,0,29.98,3715
66,29,7.8,3,10,71,3,29.98,18312
66,29,7.8,3,10,50,22,29.95,19583
66,29,7.8,3,10,59,16,29.92,6135
66,29,7.8,3,10,81,8,29.96,178
66,29,7.8,3,10,84,9,29.95,0
67,27,9.5,3,10,84,10,29.94,0
67,27,9.5,4,10,87,6,29.92,0
67,27,9.5,4,10,81,0,29.96,53
67,27,9.5,3,10,73,6,29.98,7496
67,27,9.5,3,10,62,17,29.97,19260
67,27,9.5,3,10,76,9,29.92,4961
67,27,9.5,3,10,87,13,29.91,0
67,27,9.5,2,10,90,16,29.92,0
65,19,8.5,4,10,90,7,29.91,0
65,19,8.5,3,10,87,8,29.86,0
65,19,8.5,3,10,84,5,29.87,1093
65,19,8.5,3,10,73,3,29.87,11844
65,19,8.5,3,10,63,0,29.83,11357
65,19,8.5,4,10,65,9,29.77,3375
65,19,8.5,4,10,70,14,29.76,0
65,19,8.5,4,3,90,13,29.75,0
64,26,14.4,4,9,93,15,29.73,0
64,26,14.4,4,7,90,17,29.75,0
64,26,14.4,4,8,90,8,29.79,1653
64,26,14.4,3,10,81,13,29.84,5957
64,26,14.4,2,10,66,16,29.86,21177
64,26,14.4,2,10,70,15,29.88,9729
64,26,14.4,1,10,81,14,29.91,0
64,26,14.4,2,10,84,18,29.95,0
65,28,11.1,1,10,81,15,29.96,0
65,28,11.1,1,10,84,10,29.96,0
65,28,11.1,2,10,81,8,29.99,2198
65,28,11.1,3,10,57,7,30.01,20493
65,28,11.1,3,10,55,15,30,18931
65,28,11.1,3,10,61,11,29.99,11566
65,28,11.1,1,10,81,15,30.01,0
65,28,11.1,2,10,87,14,30.03,0
66,28,10.5,4,10,93,7,30.04,0
66,28,10.5,4,10,90,0,30.05,0
66,28,10.5,4,9,84,5,30.07,532
66,28,10.5,1,9,73,5,30.1,22044
66,28,10.5,0,10,59,3,30.05,27732
66,28,10.5,1,10,70,22,30.05,11398
66,28,10.5,1,10,93,22,30.07,0
66,28,10.5,3,10,93,21,30.1,0
65,28,10.2,2,10,93,14,30.12,0
65,28,10.2,1,10,96,7,30.12,0
65,28,10.2,3,10,96,0,30.16,0
65,28,10.2,2,7,81,3,30.17,15458
65,28,10.2,0,9,71,3,30.11,27357
65,28,10.2,0,10,55,22,30.07,10975
65,28,10.2,0,10,73,16,30.06,0
65,28,10.2,0,10,81,11,30.05,0
66,27,12.6,0,10,84,7,30.03,0
66,27,12.6,1,10,83,0,30.01,0
66,27,12.6,0,9,90,3,30.02,3816
66,27,12.6,0,9,76,3,30.01,23843
66,27,12.6,0,10,55,24,29.95,27645
66,27,12.6,1,10,61,25,29.92,11063
66,27,12.6,0,10,72,9,29.9,0
66,27,12.6,0,10,78,23,29.91,0
62,27,14.6,0,10,83,15,29.91,0
62,27,14.6,0,10,80,13,29.92,0
62,27,14.6,1,10,75,9,29.96,3837
62,27,14.6,0,10,47,5,30,24973
62,27,14.6,0,10,36,16,29.97,28183
62,27,14.6,0,10,50,26,29.94,10894
62,27,14.6,0,10,67,20,29.95,0
62,27,14.6,0,10,67,11,29.97,0
57,29,17.6,0,10,69,16,29.98,0
57,29,17.6,0,10,69,11,29.98,0
57,29,17.6,1,10,59,13,29.99,3755
57,29,17.6,1,10,42,17,30,25334
57,29,17.6,1,10,46,26,29.94,29016
57,29,17.6,2,10,46,29,29.91,10179
57,29,17.6,0,10,64,18,29.92,0
57,29,17.6,0,10,46,13,29.93,0
61,31,14.6,0,10,32,14,29.92,0
61,31,14.6,0,10,36,14,29.93,0
61,31,14.6,0,10,34,10,29.97,0
61,31,14.6,0,10,34,20,29.98,0
61,31,14.6,1,10,28,20,29.96,0
61,31,14.6,0,10,35,21,29.95,0
61,31,14.6,0,10,42,10,30,0
61,31,14.6,0,10,25,9,30.04,0
63,32,13.4,0,10,39,15,30.09,0
63,32,13.4,0,10,41,13,30.1,0
63,32,13.4,0,10,34,9,30.15,0
63,32,13.4,0,10,29,20,30.17,0
63,32,13.4,0,10,25,14,30.15,0
63,32,13.4,0,10,29,17,30.13,10727
63,32,13.4,0,10,46,11,30.16,0
63,32,13.4,1,10,27,7,30.19,0
64,28,6.4,1,10,21,0,30.21,0
64,28,6.4,0,10,49,5,30.22,0
64,28,6.4,0,10,49,0,30.26,3687
64,28,6.4,0,10,21,0,30.27,23961
64,28,6.4,0,10,14,5,30.22,27438
64,28,6.4,0,10,18,18,30.19,10116
64,28,6.4,0,10,26,13,30.2,0
64,28,6.4,0,10,62,7,30.2,0
65,29,4.9,0,10,75,0,30.18,0
65,29,4.9,0,10,61,3,30.16,0
65,29,4.9,0,10,75,0,30.18,3473
65,29,4.9,0,10,63,5,30.18,22832
65,29,4.9,0,10,36,0,30.1,26285
65,29,4.9,1,10,31,14,30.05,9756
65,29,4.9,0,10,40,14,30.03,0
65,29,4.9,0,10,72,9,30.04,0
68,29,6.4,0,10,75,7,30.04,0
68,29,6.4,0,10,66,3,30.04,0
68,29,6.4,0,10,80,3,30.06,3359
68,29,6.4,0,10,65,6,30.08,7478
68,29,6.4,1,10,40,0,30.03,21210
68,29,6.4,1,10,34,18,30,9209
68,29,6.4,1,10,58,11,30.01,0
68,29,6.4,0,10,70,7,30.03,0
69,29,4.1,0,10,67,3,30.03,0
69,29,4.1,0,10,64,3,30.03,0
69,29,4.1,1,10,72,0,30.06,3225
69,29,4.1,0,10,70,3,30.08,21798
69,29,4.1,0,10,54,0,30.03,15159
69,29,4.1,0,10,24,15,30,9169
69,29,4.1,0,10,28,14,30.01,0
69,29,4.1,0,10,42,0,30.03,0
70,31,4.4,0,10,52,0,30.03,0
70,31,4.4,1,10,69,0,30.03,0
70,31,4.4,2,10,81,0,30.05,2718
70,31,4.4,3,10,66,3,30.06,20460
70,31,4.4,1,10,61,5,30,24427
70,31,4.4,1,10,24,11,29.96,8399
70,31,4.4,0,10,35,9,29.97,0
70,31,4.4,0,10,48,3,29.99,0
59,29,10.3,1,10,62,10,29.99,0
59,29,10.3,2,10,75,5,30,0
59,29,10.3,2,10,90,10,30.02,542
59,29,10.3,2,10,68,6,30.07,13884
59,29,10.3,2,10,59,13,30.02,25929
59,29,10.3,2,10,70,17,30.01,9282
59,29,10.3,2,10,83,11,30.03,0
59,29,10.3,2,10,83,8,30.06,0
56,27,11.5,3,10,83,0,30.05,0
56,27,11.5,4,10,83,7,30.05,0
56,27,11.5,4,10,83,3,30.08,385
56,27,11.5,2,10,72,8,30.1,17121
56,27,11.5,2,10,72,21,30.05,25347
56,27,11.5,3,10,83,18,30.05,7136
56,27,11.5,4,10,86,15,30.08,0
56,27,11.5,4,10,83,10,30.1,0
58,27,13.3,3,10,83,14,30.12,0
58,27,13.3,4,10,80,14,30.13,0
58,27,13.3,3,10,80,9,30.17,1142
58,27,13.3,1,10,67,11,30.2,21070
58,27,13.3,2,10,58,16,30.17,25392
58,27,13.3,2,10,70,17,30.16,8283
58,27,13.3,2,10,80,15,30.17,0
58,27,13.3,1,10,90,8,30.18,0
64,28,4,0,10,86,3,30.17,0
64,28,4,0,10,86,3,30.17,0
64,28,4,3,10,86,0,30.19,2581
64,28,4,1,10,75,0,30.2,21774
64,28,4,1,10,46,3,30.13,25064
64,28,4,1,10,46,14,30.08,8524
64,28,4,0,10,45,13,30.07,0
64,28,4,0,10,65,3,30.08,0
68,14,2.7,0,10,62,0,30.08,0
68,14,2.7,0,10,67,0,30.07,0
68,14,2.7,0,10,34,8,30.08,2921
68,14,2.7,0,10,21,7,30.09,21804
68,14,2.7,0,10,17,0,30.04,25219
68,14,2.7,0,10,21,0,30.02,8453
68,14,2.7,0,10,28,0,30.03,0
68,14,2.7,0,10,57,0,30.05,0
69,31,4.3,0,10,58,0,30.05,0
69,31,4.3,0,10,62,0,30.02,0
69,31,4.3,0,10,65,5,30.04,2603
69,31,4.3,0,10,63,5,30.06,20869
69,31,4.3,0,10,64,3,30,24209
69,31,4.3,0,10,26,11,29.97,5542
69,31,4.3,0,10,25,11,29.98,0
69,31,4.3,0,10,43,0,30,0
68,29,4.9,0,10,67,5,30.01,0
68,29,4.9,0,10,51,0,30,0
68,29,4.9,2,10,75,3,30.02,2461
68,29,4.9,1,10,70,5,30.05,10461
68,29,4.9,1,10,53,3,30,0
68,29,4.9,1,10,33,7,29.96,7934
68,29,4.9,0,10,43,13,29.99,0
68,29,4.9,0,10,58,0,30.02,0
68,29,4.6,0,10,56,3,30.03,0
68,29,4.6,0,10,62,0,30.02,0
68,29,4.6,0,8,80,0,30.05,2497
68,29,4.6,0,10,68,7,30.06,20597
68,29,4.6,0,10,61,3,30.01,23672
68,29,4.6,0,10,28,6,29.98,7775
68,29,4.6,0,10,49,6,29.99,0
68,29,4.6,0,10,52,7,30.02,0
60,29,11.3,0,9,83,11,30.04,0
60,29,11.3,1,8,93,9,30.05,0
60,29,11.3,1,9,96,6,30.08,1384
60,29,11.3,1,10,70,0,30.1,20680
60,29,11.3,1,10,59,14,30.05,24472
60,29,11.3,1,9,78,15,30.03,7800
60,29,11.3,1,6,93,17,30.08,0
60,29,11.3,1,8,93,15,30.13,0
55,29,9,1,9,93,8,30.16,0
55,29,9,3,7,93,0,30.15,0
55,29,9,4,4,90,6,30.19,221
55,29,9,4,3,87,3,30.2,13923
55,29,9,3,7,78,17,30.17,15242
55,29,9,3,10,78,15,30.14,3727
55,29,9,3,10,93,15,30.16,0
55,29,9,2,10,90,14,30.18,0
58,29,10.4,2,10,96,14,30.18,0
58,29,10.4,1,10,100,9,30.19,0
58,29,10.4,3,10,96,5,30.22,113
58,29,10.4,4,2,93,0,30.22,15058
58,29,10.4,1,10,72,20,30.17,23748
58,29,10.4,1,10,65,15,30.14,7480
58,29,10.4,1,10,90,17,30.14,0
58,29,10.4,1,10,93,10,30.14,0
56,30,8.3,1,10,96,8,30.1,0
56,30,8.3,1,10,100,7,30.06,0
56,30,8.3,1,7,100,9,30.08,186
56,30,8.3,3,7,83,3,30.07,15471
56,30,8.3,3,8,78,5,29.99,22378
56,30,8.3,2,10,70,9,29.94,7629
56,30,8.3,2,10,90,11,29.94,0
56,30,8.3,2,10,93,9,29.96,0
59,16,8.6,3,10,83,3,29.93,0
59,16,8.6,3,10,90,5,29.87,0
59,16,8.6,3,7,86,0,29.85,0
59,16,8.6,4,7,84,0,29.9,0
59,16,8.6,4,9,68,17,29.87,0
59,16,8.6,4,7,84,8,29.88,0
59,16,8.6,4,10,75,0,29.94,0
59,16,8.6,3,10,70,23,29.93,0
65,15,13,3,10,63,13,30,0
65,15,13,4,10,84,15,30.03,0
65,15,13,4,6,90,6,30.09,0
65,15,13,4,9,87,6,30.13,1283
65,15,13,3,10,61,18,30.1,8637
65,15,13,4,10,57,15,30.08,1209
65,15,13,3,10,59,21,30.08,0
65,15,13,3,10,78,11,30.06,0
63,16,12.8,3,10,75,9,30.03,0
63,16,12.8,4,10,84,7,29.99,0
63,16,12.8,4,4,90,14,29.97,168
63,16,12.8,4,3,87,15,29.99,1054
63,16,12.8,4,4,90,15,29.93,1200
63,16,12.8,4,3,87,15,29.88,683
63,16,12.8,4,9,87,14,29.9,0
63,16,12.8,4,10,93,9,29.93,0
62,23,8.1,4,10,90,9,29.93,0
62,23,8.1,3,10,90,5,29.96,0
62,23,8.1,2,10,90,9,30.02,357
62,23,8.1,3,10,78,0,30.07,10258
62,23,8.1,3,10,68,14,30.07,17127
62,23,8.1,2,10,73,13,30.06,8167
62,23,8.1,3,10,87,3,30.06,0
62,23,8.1,2,10,83,5,30.07,0
58,20,10.6,2,10,86,0,30.06,0
58,20,10.6,3,10,90,3,30.02,0
58,20,10.6,3,10,83,5,29.99,9
58,20,10.6,3,10,78,7,29.96,7259
58,20,10.6,3,10,72,20,29.86,6669
58,20,10.6,4,3,90,21,29.75,95
58,20,10.6,3,10,87,13,29.85,0
58,20,10.6,2,10,86,11,29.94,0
55,29,13.3,3,10,80,9,29.98,0
55,29,13.3,3,10,83,5,30.01,0
55,29,13.3,2,10,80,11,30.06,1661
55,29,13.3,3,10,69,13,30.13,16038
55,29,13.3,3,10,55,18,30.12,21373
55,29,13.3,3,10,64,22,30.13,5500
55,29,13.3,1,10,72,16,30.17,0
55,29,13.3,1,10,74,11,30.19,0
53,30,3.8,0,10,74,6,30.22,0
53,30,3.8,0,10,83,0,30.22,0
53,30,3.8,2,10,89,3,30.23,1721
53,30,3.8,3,10,67,3,30.27,16251
53,30,3.8,3,10,56,5,30.25,17465
53,30,3.8,4,10,52,8,30.25,4638
53,30,3.8,4,10,58,7,30.25,0
53,30,3.8,4,10,62,0,30.27,0
60,30,4.6,3,10,62,3,30.28,0
60,30,4.6,2,10,72,0,30.29,0
60,30,4.6,1,10,80,5,30.33,1365
60,30,4.6,0,10,62,8,30.35,19412
60,30,4.6,1,10,54,0,30.3,24013
60,30,4.6,0,10,63,14,30.26,7449
60,30,4.6,0,10,78,7,30.26,0
60,30,4.6,0,10,93,5,30.26,0
62,30,5.2,0,10,86,0,30.24,0
62,30,5.2,0,10,90,0,30.24,0
62,30,5.2,1,9,96,0,30.22,1309
62,30,5.2,0,9,84,3,30.22,19306
62,30,5.2,0,10,75,0,30.16,24011
62,30,5.2,1,10,55,11,30.11,7336
62,30,5.2,1,10,87,15,30.12,0
62,30,5.2,0,10,87,7,30.11,0
58,27,10.2,1,10,90,10,30.11,0
58,27,10.2,1,10,90,9,30.08,0
58,27,10.2,3,10,93,0,30.06,115
58,27,10.2,4,10,81,7,30.06,5851
58,27,10.2,4,10,84,9,29.98,3697
58,27,10.2,4,6,93,10,29.93,696
58,27,10.2,4,5,93,16,29.91,0
58,27,10.2,3,10,86,15,29.88,0
57,28,19.3,3,10,83,23,29.87,0
57,28,19.3,3,10,83,24,29.85,0
57,28,19.3,2,10,83,21,29.86,1209
57,28,19.3,2,10,75,14,29.88,19618
57,28,19.3,2,10,70,20,29.87,24686
57,28,19.3,3,10,78,15,29.87,4927
57,28,19.3,2,10,83,15,29.91,0
57,28,19.3,2,10,83,25,29.96,0
55,28,8.5,1,10,86,11,29.98,0
55,28,8.5,1,10,90,5,30.02,0
55,28,8.5,3,10,90,9,30.07,381
55,28,8.5,3,10,72,9,30.09,14852
55,28,8.5,3,10,65,14,30.06,24073
55,28,8.5,3,10,70,9,30.07,4945
55,28,8.5,3,10,78,9,30.09,0
55,28,8.5,3,10,83,9,30.13,0
57,28,10.2,3,10,90,9,30.16,0
57,28,10.2,4,10,96,7,30.17,0
57,28,10.2,3,10,86,7,30.21,207
57,28,10.2,3,10,75,10,30.27,8425
57,28,10.2,3,10,72,10,30.24,9466
57,28,10.2,3,10,72,15,30.24,3303
57,28,10.2,3,10,72,11,30.27,0
57,28,10.2,3,10,80,10,30.27,0
60,28,5.9,4,8,93,6,30.28,0
60,28,5.9,4,10,96,8,30.27,0
60,28,5.9,4,9,87,0,30.3,162
60,28,5.9,4,9,87,5,30.32,4780
60,28,5.9,3,9,84,3,30.26,12683
60,28,5.9,3,9,87,16,30.21,6774
60,28,5.9,3,10,93,8,30.21,0
60,28,5.9,2,10,93,0,30.23,0
60,28,6,1,10,93,0,30.23,0
60,28,6,2,10,96,0,30.22,0
60,28,6,1,10,96,0,30.22,915
60,28,6,1,9,93,5,30.23,17909
60,28,6,1,10,63,9,30.16,22652
60,28,6,1,10,75,20,30.11,6592
60,28,6,0,10,78,10,30.1,0
60,28,6,0,10,87,8,30.1,0
66,10,6.5,0,10,90,3,30.1,0
66,10,6.5,0,10,93,0,30.08,0
66,10,6.5,0,10,86,0,30.12,934
66,10,6.5,0,10,52,7,30.14,17598
66,10,6.5,0,10,40,6,30.07,22910
66,10,6.5,1,10,27,7,30.04,6731
66,10,6.5,0,10,38,9,30.06,0
66,10,6.5,1,10,47,9,30.08,0
69,14,5,1,10,45,11,30.1,0
69,14,5,1,10,54,8,30.1,0
69,14,5,1,10,54,8,30.12,746
69,14,5,0,10,30,7,30.14,17752
69,14,5,0,10,39,3,30.08,22523
69,14,5,1,10,27,0,30.05,6614
69,14,5,1,10,38,0,30.07,0
69,14,5,0,10,48,3,30.07,0
63,5,2,0,10,75,0,30.08,0
63,5,2,1,10,90,0,30.06,0
63,5,2,0,10,90,0,30.09,595
63,5,2,0,8,78,3,30.11,16232
63,5,2,1,8,73,8,30.06,21472
63,5,2,1,6,50,0,30.04,5578
63,5,2,1,10,68,3,30.06,0
63,5,2,2,9,75,0,30.09,0
64,9,1.2,1,8,83,0,30.1,0
64,9,1.2,0,7,87,0,30.11,0
64,9,1.2,1,6,90,3,30.13,585
64,9,1.2,1,6,78,3,30.15,16124
64,9,1.2,1,7,70,3,30.11,21511
64,9,1.2,2,10,49,0,30.08,5527
64,9,1.2,1,10,70,0,30.09,0
64,9,1.2,1,10,78,0,30.11,0
57,29,9.3,1,10,81,0,30.11,0
57,29,9.3,0,10,86,6,30.12,0
